Code,Address,Business 
AGPAC,13 Earthmover cres,Agpac/Donaghys/Tapex
AIR,1/142 Ossie James Drive,Pure Electronics
AIR,106 Ossie James Drive,NZ Boxer
AIR,11 Lochiel Road,BBC Technologies (TOMRA Fresh Food)
AIR,12/24 Sharpe Road,Trade depot
AIR,122 Ingram Road,Visy Board
AIR,125 Mystery Creek Road,Mystery Creek Events centre
AIR,133 Ingram Road,Health 200
AIR,16 Steele Road,Insulator
AIR,162 Ossie James Drive,Zero Fire
AIR,18 John Spencer Way,Tyreline
AIR,196 Airport Road,Honey NZ
AIR,333 Airport Road,Pacific Aerospace
AIR,5 Sharpe Road,X-Site Group
AIR,52 John Spencer Way,Class Harvest
AIR,56 Ossie James Drive,Smith Elements & Controls
AIR,72 Lochiel Road,Tieke Golf estate
AIR,76 Ossie James Drive,Globox
AIR,Airport Road,Hamilton Airport
AIR,Airport Road (Rukuhia side of river),
AIR,Inghram road,
AIR,John Spencer way,
AIR,Lochiel road,
AIR,Mystery Creek road,
AIR,Ossie James Dr,
AIR,Sharpe Road,
AIR,Steele Road (airport/Rukuhia),
AIR,,Sportsfuel
AIR,,Waikato Plumbing services
B2,13 Quintin drive/Kahikatea drive,Bunnings East Side 
BID,50 Clem Newby Road,Bidfood/Bidvest
BUN,17 Mainstreet Place,ABER Aber/Aber living 
BUN,446 Te Rapa Road,Bunnings Te Rapa
C,Clarence Street,PAK'nSAVE Clarence street
CAM,651 Airport Road,Regal Haulage
CBG10,1 Oliver Street,Mitre 10 Cambridge
CITY,1 Forestlake road,Beerescourt Liquor 
CITY,413 Anglesea Street,Liquorland Eastside (pallets only)
CITY,Anzac Parade,
CITY,Pemboke Street 65 lower (Cascades),
CITY,Seddon Road,FMG Stadum  (rugby stadium)
CITY,Tristram Street,Harvey Norman Outlet
CITY,Tristram Street,Seddon Park H3 (Cricket Stadium)
CP,1 The Boulevard,Winger Subaru
CP,1050 Te Rapa Road,Jim Wright Nissan 
CP,5 Kahu Cres,Ebbett Toyota
CRT,1052 Te Rapa road,Carters Te Rapa 
DPT,107 Ruffell Road (old address 10 Tasman road),Mainfreight Depot 
E10,41 Ruakura Road,Mitre 10 Ruakura
ECO,2 Daniel Pl/656 Te Rapa Road,Ecolab
ES,102 Riverlea Road,Acorn ITM 
ES,18 Te Ipukura Street,Truckstops
ES,Putikitiki Street (Von Tempsky st),
ES,Von Tempsky Street (Putikitiki st),
ES,"Wairere Dr (Excluding 388, 382, 378)",
F1,Commerce Street,
F1,Devon Road,
F1,Empire Street,
F1,Forest Lake Road,
F1,Goodfellow Lane,
F1,Haig Street,
F1,Hall Lane,
F1,High Street,
F1,Jolly Street,
F1,Keddell Street,
F1,Kent Street,
F1,King Street,
F1,Lake Road,
F1,Miro Street,
F1,Norton Road,
F1,Queens Ave,
F1,Rimu Street,
F1,Seddon Road,
F1,Somerset Street,
F1,Tahi Street,
F1,Upper Kent Street,
F2,1 Gallagher Drive,Action Equipment
F2,183 Pembroke Street,Waikato Hospital
F2,28 Ohaupo Road,Braemar Hospital
F2,401 Anglesea Street,Onelink
F2,Alison Street,
F2,Aztec Pl,
F2,Bader Street,
F2,Belfast Street,
F2,Charlies Way,
F2,Clow Place,
F2,Dinsdale Road,
F2,Dixon Road,
F2,Duke Street,
F2,Ellis Street 100+,
F2,Fitzroy Ave,
F2,Gallagher Dr (Except Gallagers iteself),
F2,Glennis Place,
F2,Grasslands Pl,
F2,Green Street,
F2,Greenlea Lane,
F2,Higgins Road,
F2,119 Higgins Road,Hynds 
F2,Kahikatea Dr,
F2,Kea Street,
F2,Kells Pl,
F2,6 Kilarney Lane,Linkup/DBA NZ 
F2,Killarney Lane,
F2,Killarney Road Odds,
F2,Latham Ct,
F2,Mahoe Street,
F2,Mahoe Street,
F2,Newton Pl (except Equip outdoors),
F2,Ohaupo Road 366,
F2,Peacockes Road,
F2,Pembroke St 66 higher,
F2,Pembroke Street,Waikato DHB 
F2,Peregrine Place,
F2,Pheasant Cl,
F2,Quail Place,
F2,Quentin Drive (except Bunnings),
F2,Tawa Street,
F2,Tuhikaramea road (upto 300),
F2,Wickham Street,
F3,122 Norton Road,Farmlands
F3,62 Killarney Road,Equip Outdoors
F3,Avalon Dr,
F3,Bagust Road/Brymer Road,Hamilton Zoo 
F3,Bandon Street,
F3,Brymer Road (hamilton zoo),
F3,Columbo Street,
F3,Crawford Street,
F3,Edgar Street,
F3,Ellis Street 1 - 101,
F3,Gilchrist Street,
F3,Greenwood Street,
F3,Killarney Road Even,
F3,Lincoln Street,
F3,Pukeko Street,
F3,Railside Place,
F3,Rifle Range Ave,
F3,Te Wetini Dr,Mainfreight Logistics
F3,Te Wetini Dr,Sealed Air 
F3,Waterloo Street,
F3,West Street,
GAL,181 Kahikatea Drive,Gallaghers
GIL,13 Simsey Place,Gilmours/Cash&Carry/07 Wholesalers
HRV,10/16 The Boulevard,Harvey Norman
HUN,29 Innovation Way,Waikato Milking Systems
ITM,18 Crawford Street,Thomsons ITM 
LBL,Foreman road,Labelmakers 
M,Mill Street,PAK'nSAVE Mill street
M10,Maahanga Drive,Mitre 10
PRO,100 Maui Street,Prolife Foods
RAG,117 Mason Road,Thomsons ITM Whatawhata
RAG,Hoe-O-Tainui,
RAG,Orini,
RAG,Rotokauri Road,
RAG,Tauhei,
RAG,Te Hoe,
RAG,Te Kowhai Area,
RAG,Te Kowhai Road,
RAG,Tehoi,
RAG,Tuhikaramea Road (over 300),
RAG,Whitikahu,
RD1,Maui Street,Farmsource/RD1 Distribution centre
T1,Ann Michele Street,
T1,Arthur Porter Dr,
T1,Barnett Pl,
T1,Brent Greig Lane,
T1,Chafer place,
T1,Chalmers road,
T1,Clem Newby Road,
T1,De Leeuw Pl,
T1,Foreman Road,
T1,Gilbek place,
T1,Hounsel road,
T1,Kahu Cres,
T1,Kaimiro Street,
T1,Kapuni Street,
T1,Kirwai Dr,
T1,Maui Street,
T1,Mckee Street,
T1,Norman Hayward Pl,
T1,Old Ruffell Road,
T1,Parkinson Pl,
T1,Pukete Road 200+,
T1,Ruffell Road,
T1,Simsey Pl,
T1,Tasman Road,
T1,Te Kowhai East Road,
T1,Te Rapa road High numbers (1000 + except carters),
T1,The Boulevard (except harvey norman),
T1,Udy Pl,
T2,Beerescourt Road,
T2,Braid Road,
T2,Bryant Road,
T2,Eagle Way,
T2,Euclid Ave,
T2,Home Straight,
T2,Karewa Pl,
T2,Mahana Road,
T2,Maxwell Pl,
T2,Norris Ave,
T2,Northpark Dr,
T2,Perclo Pl,
T2,Pukete Road 1-199,
T2,Sandwich Road,
T2,Te Rapa Road Evens,
T2,Totara Dr,
T2,Vickery Street,
T2,10 Northpark Drive,Gael Switchgear
T3,Bristol Pl,
T3,Garnett Ave,
T3,Ken Browne Dr,
T3,Mainstreet Pl,
T3,Manchester Pl,
T3,Micham Ave,
T3,Northway Street,
T3,Sheffield Steet,
T3,Sir Tristram Ave,
T3,Steele Road (forest lake),
T3,Storey Ave,
T3,Sushine Ave,
T3,Te Rapa Road Odds,
T3,Wairere Dr 388/382/378,
T4,12/14 Kaimiro Street,Pentair/Keystone
T4,126 Maui Street,Terra Cat
T4,129 Maui Street,Gough 
T4,149 Riverlea Road,City Glass
T4,19 Norris Avenue,Wakefield Metals
T4,2 Maui Street,Snell Packaging
T4,20 Kaimiro Street,Transport & General 
T4,22 Evolution Drive,Atkore/Unistrut
T4,225 Ellis Street,Frankton Aluminium
T4,225 Ellis Street,Rylock 
T4,278 Kahikatea Drive,Industrial Tube
T4,31 Gallagher Drive,Fletcher Steel
T4,32 Kaimiro Street,Action Manufacturing
T4,33 Kaimiro Street,Canary Enterprises
T4,4 Latham Court,FC Boats
T4,43 Killarney Road,Viking Security
T4,43 Maui Street,Ullrich Alumium
T4,48 Maui Street,Tidd Ross Todd (TRT) 
T4,61 Hounsell Road,Altus/Nalco/National Aluminium
T4,Industrial Estate 17 Kaimiro Street,Stainless Design
T4,Maui St,ABB 
T4,,Industrial Tube
TMU10,,Mitre 10 Te Awamutu
TWT (F3),Te Wetini,